architecture,seed,forgotten_domain,model,evaluation_domain,evaluation_scope,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,roc_auc,average_precision,log_loss,true_negative,false_positive,false_negative,true_positive,samples,attack_rate
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd_no_class_balance,NF-BoT-IoT,retained,0.0014474107430041815,0.5,0.0,0.0,0.0,0.49572305434763164,0.998281944762432,1.078556771952995,36.0,0.0,24836.0,0.0,24872.0,0.9985525892569959
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd_no_class_balance,NF-CSE-CIC-IDS2018,retained,0.8586989022254495,0.5,0.0,0.0,0.0,0.23956685043007953,0.08815478557096514,0.5133250876307917,20103.0,0.0,3308.0,0.0,23411.0,0.14130109777455044
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd_no_class_balance,RETAINED_MACRO,retained_macro,0.5945666116783289,0.5,0.0,0.0,0.0,0.4669537638293135,0.41809455513153265,0.6842194093017727,39517.0,0.0,29748.0,0.0,69265.0,0.4294809788493467
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd,NF-UNSW-NB15,retained,0.580688208940997,0.7681293785352904,0.15306712962962962,0.9894014962593516,0.2651186100902105,0.9762880895089142,0.8746977736438571,0.616398187913848,10597.0,8781.0,17.0,1587.0,20982.0,0.07644647793346677
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd,NF-ToN-IoT,forgotten,0.7444418977767591,0.4999230414037248,0.7445272206303725,0.9998460828074496,0.853501510970963,0.4850542193853767,0.6973754046258483,0.6079900381715135,0.0,2229.0,1.0,6496.0,8726.0,0.7445564978225991
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd,NF-BoT-IoT,retained,0.9922804760373111,0.4968593976485747,0.998543453633274,0.9937187952971493,0.996125282531482,0.42187304271577103,0.995683156690145,0.48415697776652694,0.0,36.0,156.0,24680.0,24872.0,0.9985525892569959
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd,NF-CSE-CIC-IDS2018,retained,0.19665968988936824,0.5236471711195204,0.14741344010191545,0.9794437726723095,0.2562581563649306,0.17841577935301875,0.08429016466053581,0.9047340664619,1364.0,18739.0,68.0,3240.0,23411.0,0.14130109777455044
numerical_feature_transformer,2026,NF-ToN-IoT,dc_ssd,RETAINED_MACRO,retained_macro,0.5898761249558921,0.5962119824344617,0.433008007788273,0.9875213547429368,0.5058340163288744,0.525525637192568,0.651557031664846,0.6684297440474251,11961.0,27556.0,241.0,29507.0,69265.0,0.4294809788493467
numerical_feature_transformer,2026,NF-ToN-IoT,scrub_r,NF-UNSW-NB15,retained,0.9989514822228577,0.9954294905732881,0.9949937421777222,0.9912718204488778,0.9931292941911305,0.999796379368433,0.9955357555295978,0.009384534987338732,19370.0,8.0,14.0,1590.0,20982.0,0.07644647793346677
numerical_feature_transformer,2026,NF-ToN-IoT,scrub_r,NF-ToN-IoT,forgotten,0.6032546413018566,0.5277112748244989,0.760336249785555,0.6821609973834077,0.7191302936881389,0.5727938898258111,0.7401219953728162,1.4734959499973042,832.0,1397.0,2065.0,4432.0,8726.0,0.7445564978225991
