architecture,seed,forgotten_domain,candidate_model,evaluation_domain,evaluation_scope,prediction_agreement,mean_abs_attack_probability_gap,root_mean_square_probability_gap,mean_jensen_shannon_divergence,linear_cka_to_retrained,f1_gap_to_retrained,roc_auc_gap_to_retrained,log_loss_gap_to_retrained
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,NF-BoT-IoT,retained,0.9954969443550981,0.0030589497200542884,0.026079553563335692,0.0004524203810045203,0.928916006508847,-0.0010995337770733915,-0.0020120881873981755,0.001569752020432743
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=2,NF-CSE-CIC-IDS2018,retained,0.9910298577591731,0.011525480360069286,0.03318055759896302,0.0009697992814942244,0.9371723735899324,-0.011789088776670509,-0.018716518033698337,0.03280708126493492
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,NF-UNSW-NB15,forgotten,0.4545801162901535,0.5128136586704122,0.6107457757778608,0.2676093546495895,0.3390271664057493,0.9382204726985179,0.7380340465020749,-1.143912176478333
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,NF-ToN-IoT,retained,0.9430437772175109,0.06234215697966286,0.09647505876554135,0.006854470860764291,0.8211870996060449,0.009364721718254976,0.019477671752838988,-0.17289185570888288
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,NF-BoT-IoT,retained,0.9955371502090704,0.0030784269174392634,0.026181105988375086,0.0004574108943099486,0.9288115504195353,-0.001079150185139932,-0.002271568153755288,0.0015600191476458532
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=3,NF-CSE-CIC-IDS2018,retained,0.9910298577591731,0.01150110430723579,0.033235906581637345,0.0009736856361697899,0.9386409576766924,-0.011789088776670509,-0.009426626693568085,0.028405489575327625
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,NF-UNSW-NB15,forgotten,0.45453245639119244,0.5129122426167813,0.6108700390792597,0.2677273092072476,0.34516413277990854,0.9385338413220191,0.7380334352219358,-1.144047580581496
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,NF-ToN-IoT,retained,0.9429291771716709,0.06426871916009513,0.09812785566346253,0.007191802175799682,0.8184284810769454,0.0097364508669594,0.02281009290756597,-0.18685598920054725
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,NF-BoT-IoT,retained,0.9955371502090704,0.0030820180411660738,0.02622688325501951,0.00045893753341044285,0.9288381015004357,-0.001079150185139932,-0.0022771603944093943,0.00155341292569329
mlp,42,NF-UNSW-NB15,ssd_canonical@alpha=5,NF-CSE-CIC-IDS2018,retained,0.9910298577591731,0.011508701661912356,0.033220263514744844,0.000974934392173277,0.9383195581796936,-0.011789088776670509,-0.0026632492001139596,0.02529439856887461
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,NF-UNSW-NB15,forgotten,0.45553331426937377,0.5107682155495653,0.6090237592867541,0.26449812282710194,0.4407623065456122,0.9319519940397059,0.7377548201691047,-1.1407012651162773
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,NF-ToN-IoT,retained,0.9428145771258308,0.049117413720136796,0.09521737168740217,0.005998864082524308,0.8755277780868388,0.010020029300981004,-0.06218275294674802,0.07673923854331721
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,NF-BoT-IoT,retained,0.9951752975233193,0.0032576455528152094,0.026505695139144764,0.0004732421572303476,0.9263225839857115,-0.001058767418804063,-0.0021317621373990736,0.0014619432650580348
mlp,42,NF-UNSW-NB15,dc_ssd_no_contrast,NF-CSE-CIC-IDS2018,retained,0.9919268719832557,0.011931251156046875,0.031261215444751654,0.00101420925602472,0.9345872062258331,-0.01010712557830451,0.08171445622155937,-0.041687411764967486
mlp,42,NF-UNSW-NB15,dc_ssd_no_class_balance,NF-UNSW-NB15,forgotten,0.456343532551711,0.5107778612370013,0.6089078576228655,0.2657129464902048,0.3428634531109722,0.9239271580509523,0.7379057741908002,-1.1370602502912468
mlp,42,NF-UNSW-NB15,dc_ssd_no_class_balance,NF-ToN-IoT,retained,0.9413247765299106,0.07362772320252577,0.10844200137645037,0.009166708663299394,0.8298611648356508,0.00935705392031383,0.03096873989465254,-0.23796051294485954
